id,theme,words,desc,imageUrl,moreInfoLink
20,personalities,Dr APJ Abdul Kalam,"Avul Pakir Jainulabdeen Abdul Kalam was an Indian aerospace scientist who served as the 11th President of India from 2002 to 2007. He was born and raised in Rameswaram, Tamil Nadu and studied physics and aerospace engineering.Kalam was elected as the 11th President of India in 2002 with the support of both the ruling Bharatiya Janata Party and the then-opposition Indian National Congress. Widely referred to as the ""People's President"",[6] he returned to his civilian life of education, writing and public service after a single term. He was a recipient of several prestigious awards, including the Bharat Ratna, India's highest civilian honour.While delivering a lecture at the Indian Institute of Management Shillong, Kalam collapsed and died from an apparent cardiac arrest on 27 July 2015, aged 83.Thousands, including national-level dignitaries, attended the funeral ceremony held in his hometown of Rameswaram, where he was buried with full state honours",https://i.imgur.com/VpEWJIe.jpeg,https://en.wikipedia.org/wiki/A._P._J._Abdul_Kalam
21,personalities,Milkha Singh,"Milkha Singh, also known as The Flying Sikh, was an Indian track and field sprinter who was introduced to the sport while serving in the Indian Army. He is the only athlete to win gold at 400 metres at the Asian Games as well as the Commonwealth Games. He also won gold medals in the 1958 and 1962 Asian Games.",https://i.imgur.com/oIjNZuX.jpeg,https://en.wikipedia.org/wiki/Milkha_Singh
22,personalities,Jawaharlal Nehru,"Jawaharlal Nehru was an Indian independence activist and, subsequently, the first Prime Minister of India, as well as a central figure in Indian politics both before and after independence.",https://i.imgur.com/tHr4E5W.png,https://en.wikipedia.org/wiki/Jawaharlal_Nehru
23,monuments,Hawa Mahal,"Hawa Mahal is a palace in Jaipur, India approximately 300 kilometers from the capital city of Delhi. Built from red and pink sandstone, the palace sits on the edge of the City Palace, Jaipur, and extends to the Zenana, or women's chambers",https://i.imgur.com/VNg5ECa.jpeg,https://en.wikipedia.org/wiki/Hawa_Mahal
24,monuments,Gateway of India,"The Gateway of India is an arch-monument built in the early twentieth century in the city of Mumbai, in the Indian state of Maharashtra. It was erected to commemorate the landing in December 1911 at Wellington Pier, Mumbai of King-Emperor George V and Queen-Empress Mary, the first British monarch to visit India.",https://i.imgur.com/tHr4E5W.png,https://en.wikipedia.org/wiki/Gateway_of_India
25,monuments,Red Fort,"The Red Fort is a historic fort in the city of Delhi in India that served as the main residence of the Mughal Emperors. Emperor Shah Jahan commissioned construction of the Red Fort on 12 May 1638, when he decided to shift his capital from Agra to Delhi.",https://i.imgur.com/WrPiTvZ.jpeg,https://en.wikipedia.org/wiki/Red_Fort
26,monuments,Qutub Minar,"The Qutb Minar, also spelled as Qutub Minar and Qutab Minar, is a minaret and ""victory tower"" that forms part of the Qutb complex. It is a UNESCO World Heritage Site in the Mehrauli area of New Delhi, India.It can be compared to the 62-metre all-brick Minaret of Jam in Afghanistan, of c.1190, which was constructed a decade or so before the probable start of the Delhi tower.The surfaces of both are elaborately decorated with inscriptions and geometric patterns.",https://i.imgur.com/A18vZ9Y.jpeg,https://en.wikipedia.org/wiki/Qutb_Minar
27,monuments,Inidia Gate,"The India Gate (formerly known as the All India War Memorial) is a war memorial located astride the Rajpath, on the eastern edge of the ""ceremonial axis"" of New Delhi, formerly called Kingsway. It stands as a memorial to 70,000 soldiers of the British Indian Army who died in between 1914 and 1921 in the First World War, in France, Flanders, Mesopotamia, Persia, East Africa, Gallipoli and elsewhere in the Near and the Far East, and the third Anglo-Afghan War. 13,300 servicemen's names, including some soldiers and officers from the United Kingdom, are inscribed on the gate. Designed by Sir Edwin Lutyens, the gate evokes the architectural style of the triumphal arch such as the Arch of Constantine, in Rome, and is often compared to the Arc de Triomphe in Paris, and the Gateway of India in Mumbai.",https://i.imgur.com/utLHKlZ.jpeg,https://en.wikipedia.org/wiki/India_Gate
28,culture,Golden Temple,"The Golden Temple is a gurdwara located in the city of Amritsar, Punjab, India. It is the preeminent spiritual site of Sikhism. The gurdwara is built around a man-made pool that was completed by the fourth Sikh Guru, Guru Ram Das, in 1577.",https://i.imgur.com/wsFgLSz.png,https://en.wikipedia.org/wiki/Golden_Temple
29,culture,Independence day,"Independence Day is celebrated annually on 15 August as a national holiday in India commemorating the nation's independence from the United Kingdom on 15 August 1947, the day when the provisions of the 1947 Indian Independence Act, which transferred legislative sovereignty to the Indian Constituent Assembly, came into effect. India retained King George VI as head of state until its transition to a full republic, when the nation adopted the Constitution of India on 26 January 1950 (celebrated as Indian Republic Day) and replaced the dominion prefix, Dominion of India, with the enactment of the sovereign law Constitution of India. India attained independence following the Independence Movement noted for largely non-violent resistance and civil disobedience.",https://i.imgur.com/7hYizHQ.jpeg,https://en.wikipedia.org/wiki/Independence_Day_(India)
30,culture,RakshaBandhan,"Raksha Bandhan, also Rakshabandhan, is a popular, traditionally Hindu, annual rite, or ceremony, which is central to a festival of the same name, celebrated in South Asia, and among people around the world influenced by Hindu culture.",https://i.imgur.com/v7z5J9N.jpeg,https://en.wikipedia.org/wiki/Raksha_Bandhan
31,culture,Diwali,"Diwali is a festival of lights and one of the major festivals celebrated by Hindus, Jains, Sikhs and some Buddhists, notably Newar Buddhists. The festival usually lasts five days and is celebrated during the Hindu lunisolar month Kartika.The festival is widely associated with Lakshmi, goddess of prosperity, with many other regional traditions connecting the holiday to Sita and Rama, Vishnu, Krishna, Yama, Yami, Durga, Kali, Hanuman, Ganesha, Kubera, Dhanvantari, or Vishvakarman. Furthermore, it is, in some regions, a celebration of the day Lord Rama returned to his kingdom Ayodhya with his wife Sita and his brother Lakshmana after defeating Ravana in Lanka and serving 14 years of exile.",https://i.imgur.com/nX5JdPh.jpeg,https://en.wikipedia.org/wiki/Diwali
32,culture,Kathak,"Kathak is one of the eight major forms of Indian classical dance. The origin of Kathak is traditionally attributed to the traveling bards in the of ancient northern India known as Kathakars or storytellers.The term Kathak is derived from the Vedic Sanskrit word Katha which means ""story"", and Kathakar which means ""the one who tells a story"", or ""to do with stories"".Wandering Kathakars communicated stories from the great epics and ancient mythology through dance, songs and music. Kathak dancers tell various stories through their hand movements and extensive footwork, their body movements and flexibility but most importantly through their facial expressions.",https://i.imgur.com/xIWeI7d.jpeg,https://en.wikipedia.org/wiki/Kathak
33,history,Hampi,"Hampi is an ancient village in the south Indian state of Karnataka. It’s dotted with numerous ruined temple complexes from the Vijayanagara Empire. On the south bank of the River Tungabhadra is the 7th-century Hindu Virupaksha Temple, near the revived Hampi Bazaar. A carved stone chariot stands in front of the huge Vittala Temple site. Southeast of Hampi, Daroji Bear Sanctuary is home to the Indian sloth bear",https://i.imgur.com/7jQxJjb.jpeg,https://en.wikipedia.org/wiki/Hampi
34,personalities,Aryabhatta,"Aryabhata or Aryabhata I was the first of the major mathematician-astronomers from the classical age of Indian mathematics and Indian astronomy. His works include the Āryabhaṭīya and the Arya-siddhanta. For his explicit mention of the relativity of motion, he also qualifies as a major early physicist.",https://i.imgur.com/EL65AEz.jpeg,https://en.wikipedia.org/wiki/Aryabhata
35,history,Kuchipudi,"Kuchipudi is a dance-drama performance, with its roots in the ancient Hindu Sanskrit text of Natya Shastra. It developed as a religious art linked to traveling bards, temples and spiritual beliefs, like all major classical dances of India.The traditional Kuchipudi was performed by all males troupe. A dancer in a male role would be in Agnivastra, also known as Bagalbandi, wear a dhoti (a single pleated piece of cloth hanging down from the waist). A dancer in a female role would wear a Sari with light makeup.",https://i.imgur.com/c7xVNJz.jpeg,https://en.wikipedia.org/wiki/Kuchipudi
36,history,Pie - Aryabhatta,"Aryabhata worked on the approximation for pi (π), and may have come to the conclusion that π is irrational. In the second part of the Aryabhatiyam (gaṇitapāda 10), he writes:""Add four to 100, multiply by eight, and then add 62,000. By this rule the circumference of a circle with a diameter of 20,000 can be approached.""This implies that for a circle whose diameter is 20000, the circumference will be 62832.i.e Pi =  3.1416}.",https://i.imgur.com/Jn9hWL1.jpeg,https://en.wikipedia.org/wiki/Aryabhata
37,culture,Yoga,"Yoga, is a group of physical, mental, and spiritual practices or disciplines that originated in ancient India. Yoga is one of the six orthodox philosophical schools of Hinduism. There are a broad variety of yoga schools, practices, and goals in Hinduism, Buddhism, and Jainism and there are four paths or types of yoga: Karma yoga, Kriya yoga, Bhakti yoga, and Jnana yoga.Research studies have shown that traditional yoga systems that include breathing exercises and asanas or postures, chants, and meditation can reduce stress and improve immunity and lung functions. Traditional forms and modern methods of yoga are practiced worldwide.",https://i.imgur.com/FLCEdJv.jpeg,https://en.wikipedia.org/wiki/Yoga
38,mythology,Lord Shiva,"Shiva is known as ""The Destroyer"" within the Trimurti, the Hindu trinity that includes Brahma and Vishnu.In the Shaivite tradition, Shiva is the Supreme Lord who creates, protects and transforms the universe.In the Shakta tradition, the Goddess, or Devi, is described as one of the supreme, yet Shiva is revered along with Vishnu and Brahma. A goddess is stated to be the energy and creative power (Shakti) of each, with Parvati (Sati) the equal complementary partner of Shiva.He is one of the five equivalent deities in Panchayatana puja of the Smarta tradition of Hinduism",https://i.imgur.com/Yepsq23.jpeg,https://en.wikipedia.org/wiki/Shiva
39,history,Indian Flag,"The National Flag of India  is a horizontal rectangular tricolour of India saffron, white and India green; with the Ashoka Chakra, a 24-spoke wheel, in navy blue at its centre. It was adopted in its present form during a meeting of the Constituent Assembly held on 22 July 1947, and it became the official flag of the Dominion of India on 15 August 1947. The flag was subsequently retained as that of the Republic of India. In India, the term ""tricolour"" almost always refers to the Indian national flag. The flag is based on the Swaraj flag, a flag of the Indian National Congress designed by Pingali Venkayya",https://i.imgur.com/2ObcbMg.jpeg,https://en.wikipedia.org/wiki/Flag_of_India
40,history,Ashok Chakra,"The Ashoka Chakra is a depiction of the Dharma Chakra; a wheel represented with 24 spokes in buddhism. It is so called because it appears on a number of edicts of Ashoka, most prominent among which is the Lion Capital of Ashoka. The most visible use of the Ashoka Chakra today is at the centre of the Flag of India (adopted on 24 July 1947), where it is rendered in a navy blue colour on a white background, replacing the symbol of chakra (spinning wheel) of the pre-independence versions of the flag.",https://i.imgur.com/2SBCtVF.png,https://en.wikipedia.org/wiki/Ashoka_Chakra
41,culture,Indian Food,"Indian cuisine consists of a variety of regional and traditional cuisines native to the Indian subcontinent. Given the diversity in soil, climate, culture, ethnic groups, and occupations, these cuisines vary substantially and use locally available spices, herbs, vegetables, and fruits.",https://i.imgur.com/yO15LBi.jpeg,https://en.wikipedia.org/wiki/Indian_cuisine
42,history,Charkha,"Charkha is a spinning wheel used  for spinning thread or yarn from fibres. It was fundamental to the cotton textile industry prior to the Industrial Revolution. It laid the foundations for later machinery such as the spinning jenny and spinning frame, which displaced the spinning wheel during the Industrial Revolution.",https://i.imgur.com/P7zG6Tw.jpeg,https://en.wikipedia.org/wiki/Spinning_wheel
43,culture,Tussar-slik,"Tussar silk (alternatively spelled as tussah, tushar, tassar,[1] tussore, tasar, tussur, or tusser, and also known as (Sanskrit) kosa silk) is produced from larvae of several species of silkworms belonging to the moth genus Antheraea, including A. assamensis, A. paphia, A. pernyi, A. roylei, and A. yamamai. These silkworms live in the wild forests in trees belonging to Terminalia species and Shorea robusta, as well as other food plants such as jamun and oak found in South Asia, eating the leaves of the trees on which they live.[2][3] Tussar silk is valued for its rich texture and natural, deep-gold colour, and varieties are produced in many countries, including China,[4] India, Japan, and Sri Lanka.[5]",https://i.imgur.com/M1kCpFz.jpeg,https://en.wikipedia.org/wiki/Tussar_silk
44,mythology,Khanda,"The khanda is the symbol of the Sikh faith, that attained its current form around the 1930s during the Ghadar Movement. The modern Sikh symbol/logo is never written on or in any copy of the Guru Granth Sahib. The main symbol/logo traditionally used in the Guru Granth Sahib and Gurdwaras across the world is ""Ek Onkar"".",https://i.imgur.com/V61yKX1.jpeg,https://en.wikipedia.org/wiki/Khanda_(Sikh_symbol)
45,history,VASCO-DA-GAMA,"Vasco da Gama, 1st Count of Vidigueira, was a Portuguese explorer and the first European to reach India by sea. His initial voyage to India was the first to link Europe and Asia by an ocean route, connecting the Atlantic and the Indian oceans and therefore, the West and the Orient.",https://i.imgur.com/beuncbV.gif,https://en.wikipedia.org/wiki/Vasco_da_Gama
46,monuments,Charminar,"The Charminar constructed in 1591, is a monument and mosque located in Hyderabad, Telangana, India. The landmark has become known globally as a symbol of Hyderabad and is listed among the most recognised structures in India.The Charminar is situated on the east bank of Musi river. To the west lies the Laad Bazaar, and to the southwest lies the richly ornamented granite Makkah Masjid.",https://i.imgur.com/1IcTVM9.jpeg,https://en.wikipedia.org/wiki/Charminar
